Playlist,Categoria,Rotulo,Posicao,Musica,Artista,Duracao,Link_Spotify
TB 100 Vol. 1,Volume,Vol. 1,12,"Another Brick in the Wall, Part 2",Pink Floyd,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,13,Won't Get Fooled Again,The Who,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,14,Highway to Hell,AC/DC,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,15,Master of Puppets,Metallica,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,16,Welcome to the Jungle,Guns N' Roses,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,17,Take It Easy,Eagles,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,18,Dreams,Fleetwood Mac,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,19,Riders on the Storm,The Doors,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,20,All Along the Watchtower,Jimi Hendrix,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,21,"No Woman, No Cry",Bob Marley,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,22,I Just Called to Say I Love You,Stevie Wonder,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,23,Let's Get It On,Marvin Gaye,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,24,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,25,Your Song,Elton John,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,26,Jailhouse Rock,Elvis Presley,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,27,Hit the Road Jack,Ray Charles,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,28,Roll Over Beethoven,Chuck Berry,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,29,Good Vibrations,The Beach Boys,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,30,The Sound of Silence,Simon & Garfunkel,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,31,Karma Police,Radiohead,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,32,Don't Look Back in Anger,Oasis,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,33,Viva la Vida,Coldplay,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,34,Californication,Red Hot Chili Peppers,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,35,Roxanne,The Police,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,36,You Give Love a Bad Name,Bon Jovi,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,37,Any Way You Want It,Journey,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,38,Learn to Fly,Foo Fighters,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,39,Jeremy,Pearl Jam,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,40,Basket Case,Green Day,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,41,Numb,Linkin Park,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,42,505,Arctic Monkeys,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,43,Somebody Told Me,The Killers,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,44,Friday I'm in Love,The Cure,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,45,Personal Jesus,Depeche Mode,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,46,Spoonman,Soundgarden,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,47,Fell in Love with a Girl,The White Stripes,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,48,Psycho Killer,Talking Heads,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,49,Girls & Boys,Blur,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,50,Money for Nothing,Dire Straits,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,51,Dream On,Aerosmith,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,52,Losing My Religion,R.E.M.,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,53,There Is a Light That Never Goes Out,The Smiths,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,54,Uprising,Muse,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,55,Jump,Van Halen,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,56,Free Fallin',Tom Petty and the Heartbreakers,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,57,Old Time Rock and Roll,Bob Seger,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,58,Should I Stay or Should I Go,The Clash,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,59,You Really Got Me,The Kinks,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,60,Paranoid,Black Sabbath,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,61,Vogue,Madonna,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,62,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,63,The Best,Tina Turner,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,64,Mamma Mia,ABBA,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,65,How Deep Is Your Love,Bee Gees,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,66,Time After Time,Cyndi Lauper,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,67,Someone Like You,Adele,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,68,Back to Black,Amy Winehouse,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,69,You Send Me,Sam Cooke,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,70,I Can't Turn You Loose,Otis Redding,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,71,Single Ladies (Put a Ring on It),Beyoncé,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,72,Diamonds,Rihanna,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,73,Poker Face,Lady Gaga,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,74,Roar,Katy Perry,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,75,Shake It Off,Taylor Swift,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,76,Perfect,Ed Sheeran,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,77,Grenade,Bruno Mars,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,78,Starboy,The Weeknd,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,79,Levitating,Dua Lipa,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,80,Cheap Thrills,Sia,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,81,The Real Slim Shady,Eminem,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,82,Empire State of Mind,Jay-Z,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,83,Gold Digger,Kanye West,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,84,DNA.,Kendrick Lamar,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,85,Hotline Bling,Drake,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,86,California Love,2Pac,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,87,Big Poppa,The Notorious B.I.G.,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,88,Drop It Like It's Hot,Snoop Dogg,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,89,Nuthin' but a 'G' Thang,Dr. Dre,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,90,Ms. Jackson,OutKast,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,91,No One,Alicia Keys,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,92,Ordinary People,John Legend,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,93,I'm Not the Only One,Sam Smith,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,94,Green Light,Lorde,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,95,Happier Than Ever,Billie Eilish,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,96,Radioactive,Imagine Dragons,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,97,This Love,Maroon 5,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,98,Apologize,OneRepublic,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,99,One More Time,Daft Punk,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,100,Maria Maria,Santana,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 2,Volume,Vol. 2,1,We Will Rock You,Queen,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,2,Here Comes the Sun,The Beatles,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,3,Beat It,Michael Jackson,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,4,Kashmir,Led Zeppelin,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,5,Heart-Shaped Box,Nirvana,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,6,Gimme Shelter,The Rolling Stones,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,7,The Times They Are a-Changin',Bob Dylan,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,8,Let's Dance,David Bowie,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,9,Kiss,Prince,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,10,Born in the U.S.A.,Bruce Springsteen,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,11,Beautiful Day,U2,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,12,Comfortably Numb,Pink Floyd,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,13,My Generation,The Who,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,14,Thunderstruck,AC/DC,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,15,Nothing Else Matters,Metallica,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,16,November Rain,Guns N' Roses,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,17,Desperado,Eagles,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,18,Landslide,Fleetwood Mac,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,19,Break On Through (To the Other Side),The Doors,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,20,Hey Joe,Jimi Hendrix,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,21,Three Little Birds,Bob Marley,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,22,Sir Duke,Stevie Wonder,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,23,Sexual Healing,Marvin Gaye,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,24,Think,Aretha Franklin,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,25,Tiny Dancer,Elton John,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,26,Can't Help Falling in Love,Elvis Presley,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,27,What'd I Say,Ray Charles,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,28,Maybellene,Chuck Berry,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,29,Wouldn't It Be Nice,The Beach Boys,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,30,Mrs. Robinson,Simon & Garfunkel,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,31,No Surprises,Radiohead,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,32,Champagne Supernova,Oasis,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,33,The Scientist,Coldplay,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,34,Scar Tissue,Red Hot Chili Peppers,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,35,Message in a Bottle,The Police,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,36,Wanted Dead or Alive,Bon Jovi,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,37,Faithfully,Journey,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,38,The Pretender,Foo Fighters,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,39,Even Flow,Pearl Jam,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,40,American Idiot,Green Day,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,41,Faint,Linkin Park,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,42,R U Mine?,Arctic Monkeys,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,43,When You Were Young,The Killers,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,44,Boys Don't Cry,The Cure,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,45,Just Can't Get Enough,Depeche Mode,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,46,Fell on Black Days,Soundgarden,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,47,The Hardest Button to Button,The White Stripes,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,48,Burning Down the House,Talking Heads,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,49,Coffee & TV,Blur,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,50,Brothers in Arms,Dire Straits,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,51,Walk This Way,Aerosmith,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,52,Everybody Hurts,R.E.M.,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,53,This Charming Man,The Smiths,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,54,Supermassive Black Hole,Muse,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,55,Panama,Van Halen,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,56,American Girl,Tom Petty and the Heartbreakers,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,57,Night Moves,Bob Seger,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,58,Rock the Casbah,The Clash,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,59,Lola,The Kinks,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,60,Iron Man,Black Sabbath,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,61,Like a Virgin,Madonna,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,62,How Will I Know,Whitney Houston,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,63,Proud Mary,Tina Turner,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,64,Waterloo,ABBA,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,65,Night Fever,Bee Gees,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,66,True Colors,Cyndi Lauper,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,67,Hello,Adele,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,68,You Know I'm No Good,Amy Winehouse,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,69,Wonderful World,Sam Cooke,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,70,Try a Little Tenderness,Otis Redding,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,71,Halo,Beyoncé,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,72,We Found Love,Rihanna,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,73,Shallow,Lady Gaga,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,74,Dark Horse,Katy Perry,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,75,Love Story,Taylor Swift,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,76,Thinking Out Loud,Ed Sheeran,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,77,Locked Out of Heaven,Bruno Mars,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,78,The Hills,The Weeknd,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,79,New Rules,Dua Lipa,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,80,Unstoppable,Sia,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,81,Without Me,Eminem,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,82,Hard Knock Life (Ghetto Anthem),Jay-Z,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,83,Heartless,Kanye West,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,84,Alright,Kendrick Lamar,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,85,One Dance,Drake,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,86,Dear Mama,2Pac,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,87,Hypnotize,The Notorious B.I.G.,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,88,"Young, Wild & Free",Snoop Dogg,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
